Product name,Price_per_unit,Rating,Rating_count,1 star count,2 star count,3 star count,4 star count,5 star count,Similar_product_1,Similar_product_price_1,Similar_product_2,Similar_product_price_2,Similar_product_3,Similar_product_price_3,Similar_product_4,Similar_product_price_4,Similar_product_5,Similar_product_price_5,Pros,Cons,product recommendation,recommendation_count,recommendation_percent
Highland Harvest Organic Scotch Whisky 750ml,49.99,5,1,0,0,0,0,1,"Silver Ghost Cabernet Sauvignon Napa Valley , 2018 750ml",39.99,"Amici Cabernet Sauvignon Napa, 2018 750ml",49.99,"Lloyd Chardonnay Carneros, 2019 750ml",39.99,De Margerie Grand Cru Brut 750ml,44.99,"Amici Pinot Noir Russian River Valley, 2018 750ml",39.99,{'satisfaction': '2 reviews'},,1 out of 1 (100%) of reviewers would recommend this product to a friend.,1,100
Smokehead Rum Rebel Whisky 750ml,69.99,3,1,0,0,1,0,0,Smokehead Sherry Bomb Whisky 750ml,79.99,Smokehead High Voltage Whisky 750ml,94.99,Smokehead Single Malt Scotch 750ml,62.99,Dalmore 12 Year Sherry Cask Select 750ml,79.99,De Margerie Grand Cru Brut 750ml,44.99,,,,,
Ellington Reserve Cold Brew Whisky 50ml,1.49,4.6,17,1,0,0,3,13,Shepherd's P'Nutty Peanut Butter Whiskey 50ml,,,,,,,,Ellington Canadian Whisky 1.75L,18.99,"{'enjoyment': '2 reviews', 'price': '2 reviews'}",,12 out of 12 (100%) of reviewers would recommend this product to a friend.,12,100
Ellington Reserve Banana Whisky 50ml,1.49,4.5,33,1,1,1,9,21,Catch Fire Apple & Cinnamon Whisky 50ml,,,,,,,,Ellington Canadian Whisky 1.75L,18.99,"{'satisfaction': '11 reviews', 'price': '3 reviews'}",,28 out of 30 (93%) of reviewers would recommend this product to a friend.,28,93%
Ellington Reserve Mango Whisky 50ml,1.49,4.5,38,2,1,2,5,28,Shepherd's P'Nutty Peanut Butter Whiskey 50ml,,,,,,,,Ellington Canadian Whisky 1.75L,18.99,"{'satisfaction': '10 reviews', 'enjoyment': '3 reviews'}",,27 out of 31 (87%) of reviewers would recommend this product to a friend.,27,87%
Ellington Reserve Apple Whisky 50ml,1.49,4.4,32,3,0,0,6,23,Shepherd's P'Nutty Peanut Butter Whiskey 50ml,,,,,,,,Ensign Red Apple 750ml,14.99,"{'satisfaction': '5 reviews', 'enjoyment': '2 reviews'}",,23 out of 26 (88%) of reviewers would recommend this product to a friend.,23,88%
Ellington Reserve 8 Year Canadian Whisky 50ml,1.39,4.4,353,15,11,14,82,231,Skatterbrain Dark Chocolate Banana Whiskey 50ml,,,,,,,,Maker's Mark Bourbon Private Barrel Select 750ml,74.99,"{'price': '75 reviews', 'satisfaction': '44 reviews'}",,264 out of 300 (88%) of reviewers would recommend this product to a friend.,264,88%
Kujira 20 Year Ryukyu Whisky 750ml,359.99,5,8,0,0,0,0,8,Shibui Single Grain 18 Yr Whisky 750ml,39.99,Macallan 18 Year Double Cask 750ml,49.99,Glenlivet Archive 21 Yr 750ml,49.99,Macallan Rare Cask 750ml,59.99,Casa Dragones Tequila Joven 750ml,94.99,,,,,
Shibui Grain Blend Whisky 750ml,59.99,3.8,4,0,1,0,2,1,Hatozaki Finest Japanese Whisky 750ml,41.99,Hatozaki Small Batch Japanese Whisky 750ml,60.99,Grangestone Single Malt Gift Pack 3pk-375ml Bottles,44.99,The Shin Japanese Malt Whisky 750ml,59.99,Hayama Pure Malt Whisky 750ml,56.99,,,,,
Black Velvet Apple Whisky 50ml,1.49,5,1,0,0,0,0,1,Catch Fire Apple & Cinnamon Whisky 50ml,,,,,,,,,,,,,,
