Product name,Price_per_unit,Rating,Rating_count,1 star count,2 star count,3 star count,4 star count,5 star count,Similar_product_1,Similar_product_price_1,Similar_product_2,Similar_product_price_2,Similar_product_3,Similar_product_price_3,Similar_product_4,Similar_product_price_4,Similar_product_5,Similar_product_price_5,Pros,Cons,product recommendation,recommendation_count,recommendation_percent
Home School Blood Orange Manhattan 4pk-200ml,15.99,5.0,2,0,0,0,0,2,Borrasca Premium Rose Cuvee 750ml,24.99,The Perfect Cocktail Manhattan Pack,23.49,The Perfect Cocktail Old Fashioned Pack,23.49,"Mascota Vineyards Unanime, 2017 750ml",24.99,1858 Red Blend 750ml,24.99,,,,,
Southern Shine Blueberry 750ml,15.99,4.0,28,3,3,1,6,15,Southern Shine Apple Pie 750ml,15.99,Southern Shine Peach 750ml,15.99,Dogfish Head Punkin Ale 6pk-12oz Btls,12.99,Catch Fire Cinnamon Whisky 750ml,10.99,Skatterbrain Dark Chocolate Banana Whiskey 750ml,18.99,"{'satisfaction': '7 reviews', 'enjoyment': '2 reviews'}",,17 out of 23 (74%) of reviewers would recommend this product to a friend.,17.0,74%
Ole Smoky Tenn Moonshine Blackberry 50ml,39.99,4.5,15,1,0,2,0,12,Oregon Spirit Straight Bourbon Bottled-in-Bond 750ml,64.99,,,,,,,Maker's Mark Bourbon Private Barrel Select 750ml,74.99,{'satisfaction': '3 reviews'},,9 out of 10 (90%) of reviewers would recommend this product to a friend.,9.0,90%
Southern Shine Peach 750ml,99.99,4.0,30,4,1,2,6,17,Southern Shine Apple Pie 750ml,15.99,Southern Shine Blueberry 750ml,15.99,Southern Shine Original Moonshine 750ml,14.99,Ensign Red Peach 750ml,15.99,Lonehand Whiskey 750ml,11.99,{'satisfaction': '4 reviews'},,17 out of 22 (77%) of reviewers would recommend this product to a friend.,17.0,77%
Jack Daniels Black Jack Cola 6pk-10oz btls,22.49,4.0,24,4,1,0,5,14,Jack Daniels Downhome Punch 6pk-10oz Btls,,Jack Daniels Southern Peach 6pk-10oz Btls,,Jack Daniels Lynchburg Lemonade 6pk-10oz Btls,,Not Your Father's Root Beer 6pk-12oz Btls,11.49,Smirnoff Ice 6pk-11oz Btls,,"{'convenient': '3 reviews', 'satisfaction': '3 reviews'}",,10 out of 13 (77%) of reviewers would recommend this product to a friend.,10.0,77%
Drinkworks Classic Collection Old Fashioned Cocktail 4pk-50ml,19.99,4.3,9,0,1,0,3,5,Handy & Schiller Old Fashioned Cocktail 750ml,39.99,,,,,,,,,,,,,
Ritual Zero Proof Non-Alcoholic Variety Pack single,14.99,3.2,14,4,2,0,3,5,Seedlip Grove 42 Non-Alcoholic Spirit 700ml Bottle,31.99,Ritual Zero Proof Non-Alcoholic Rum 750ml,24.99,Ritual Zero Proof Non-Alcoholic Tequila 750ml,24.99,Bravus Non-Alcoholic Oatmeal Stout 4pk-12oz Cans,,Seedlip Spice 94 Non-Alcoholic Spirit 700ml Bottle,31.99,,,,,
Suavecito Extra Anejo 750ml,20.99,4.9,52,0,0,1,4,47,Don Camilo 8yr Extra Anejo Organic Tequila 750ml,24.99,,,,,,,Asombroso Extra Anejo Tequila 6 Year Barrel Select 750ml,34.99,"{'satisfaction': '14 reviews', 'price': '4 reviews'}",,45 out of 46 (98%) of reviewers would recommend this product to a friend.,45.0,98%
Sugarlands Butter Pecan Sipping Cream 750ml,11.99,4.9,109,0,0,2,6,101,Tower Vodka 1.75L,19.99,Sugarlands Mark & Digger Hazelnut Rum 750ml,20.99,Ensign Red Salted Caramel 750ml,16.99,Ensign Red Peach 750ml,15.99,Caruva Horchata Cream Liqueur 750ml,16.99,"{'satisfaction': '41 reviews', 'packaging': '5 reviews'}",,84 out of 87 (97%) of reviewers would recommend this product to a friend.,84.0,97%
Sugarlands Banana Pudding Sipping Cream 750ml,18.99,4.9,64,0,1,1,3,59,Caruva Horchata Cream Liqueur 750ml,16.99,Ensign Red Salted Caramel 750ml,16.99,Sugarlands Mark & Digger Hazelnut Rum 750ml,20.99,Appalachian Moonshine Paw Paw 750ml,19.99,"Carmen Gran Reserva Cabernet Sauvignon, 2018 750ml",17.99,{'satisfaction': '21 reviews'},,54 out of 54 (100%) of reviewers would recommend this product to a friend.,54.0,100
Crown Royal Washington Apple 4pk-12oz cans,18.99,4.4,24,1,3,0,2,18,Largo Bay Pineapple Coconut Colada Sparkling Cocktail 4pk-12oz Cans,,Largo Bay Lime Mojito 4pk-12oz Cans,,Five Drinks Moscow Mule 4pk-200ml,,Ed Edmundo Cabernet Sauvignon 750ml,,La Vostra Prosecco 750ml,10.99,{'convenient': '2 reviews'},,6 out of 9 (67%) of reviewers would recommend this product to a friend.,6.0,67%
Ole Smoky Tenn Moonshine Butter Pecan 750ml,18.99,4.6,11,0,0,1,2,8,Appalachian Moonshine Paw Paw 750ml,19.99,,,,,,,Blue Moon Belgian White Belgian-Style Wheat Ale 12pk-12oz Btls,14.49,,,,,
Crown Royal Peach Tea 4pk-12oz cans,20.99,3.5,29,7,3,2,2,15,Schofferhofer Passion Fruit Hefeweizen 6pk-11oz Btls,,Ed Edmundo Cabernet Sauvignon 750ml,,La Vostra Prosecco 750ml,10.99,Eccentric Cabernet Sauvignon 750ml,,Le Colline Pinot Noir 750ml,,{'price': '3 reviews'},,5 out of 14 (36%) of reviewers would recommend this product to a friend.,5.0,36%
Ole Smoky Tennessee Moonshine Apple Pie 750ml,20.99,4.3,17,2,0,1,2,12,TRULY Punch Variety Pack 12pk-12oz Cans,15.99,TRULY Tea Hard Seltzer Variety 12pk-12oz Cans,15.99,The Original Backpacker Peach Cobbler Moonshine 750ml,19.99,Skatterbrain Peanut Butter Whiskey 750ml,15.99,Ensign Red Apple 750ml,14.99,{'satisfaction': '6 reviews'},,11 out of 13 (85%) of reviewers would recommend this product to a friend.,11.0,85%
Ole Smoky Tenn Moonshine W/Peaches 750ml,20.99,4.7,13,0,0,1,2,10,Tower Vodka 1.75L,19.99,Luxardo Maraschino Cherries 14.1oz,21.99,The Original Backpacker Peach Cobbler Moonshine 750ml,19.99,Appalachian Moonshine Paw Paw 750ml,19.99,Appalachian Moonshine 750ml,19.99,"{'flavor': '2 reviews', 'taste': '2 reviews'}",,4 out of 4 (100%) of reviewers would recommend this product to a friend.,4.0,100
Ole Smoky Tennessee Moonshine Cherries 750ml,18.99,4.3,26,3,0,2,3,18,The Original Backpacker Peach Cobbler Moonshine 750ml,19.99,Tower Vodka 1.75L,19.99,Luxardo Maraschino Cherries 14.1oz,21.99,Appalachian Moonshine 750ml,19.99,Appalachian Moonshine Paw Paw 750ml,19.99,{'enjoyment': '3 reviews'},,11 out of 13 (85%) of reviewers would recommend this product to a friend.,11.0,85%
Ole Smoky Tenn Moonshone Pickles 750ml,18.99,4.9,12,0,0,0,1,11,Tower Vodka 1.75L,19.99,Luxardo Maraschino Cherries 14.1oz,21.99,Borrasca Premium Cuvee 750ml,24.99,Appalachian Moonshine Paw Paw 750ml,19.99,Appalachian Moonshine 750ml,19.99,,,,,
Sugarlands Apple Pie Moonshine 750ml,36.99,4.0,48,7,3,3,5,30,Sugarlands Mark & Digger Hazelnut Rum 750ml,20.99,The Original Backpacker Peach Cobbler Moonshine 750ml,19.99,The Original Backpacker Dark Chocolate Cherry Moonshine 750ml,19.99,Tower Vodka 1.75L,19.99,Appalachian Moonshine Apple Pie 750ml,19.99,"{'satisfaction': '5 reviews', 'enjoyment': '3 reviews'}",,30 out of 40 (75%) of reviewers would recommend this product to a friend.,30.0,75%
Ole Smoky Tenn Moonshine Mountain Java 750ml,22.49,5.0,6,0,0,0,0,6,Tower Vodka 1.75L,19.99,Appalachian Moonshine Paw Paw 750ml,19.99,Appalachian Moonshine 750ml,19.99,Harvester Cabernet Sauvignon Paso Robles 750ml,19.99,Louis Bouillot Perle de Vigne Brut 750ml,19.99,,,,,
Ole Smoky Tennessee Moonshine Blue Flame 750ml,29.99,3.5,21,5,3,0,3,10,Appalachian Moonshine 750ml,19.99,Appalachian Moonshine Paw Paw 750ml,19.99,Appalachian Moonshine Apple Pie 750ml,19.99,Harvester Cabernet Sauvignon Paso Robles 750ml,19.99,Louis Bouillot Perle de Vigne Brut 750ml,19.99,{'enjoyment': '2 reviews'},,10 out of 18 (56%) of reviewers would recommend this product to a friend.,10.0,56%
Ole Smoky Tenn Moonshine Hunch Punch Lightnin' 750ml,20.49,4.1,10,1,1,0,2,6,The Original Backpacker Peach Cobbler Moonshine 750ml,19.99,Appalachian Moonshine Paw Paw 750ml,19.99,Appalachian Moonshine 750ml,19.99,Harvester Cabernet Sauvignon Paso Robles 750ml,19.99,Louis Bouillot Perle de Vigne Brut 750ml,19.99,{'flavor': '3 reviews'},,4 out of 5 (80%) of reviewers would recommend this product to a friend.,4.0,80%
Everclear Grain Alcohol 120 1.75l,20.99,4.3,23,3,1,1,0,18,Legado Blanco Tequila 1.75L,22.99,Mephisto Absinthe 750ml,29.99,"Silver Ghost Cabernet Sauvignon Napa Valley , 2018 750ml",39.99,Corona Extra 24-12oz Btls,26.99,1858 Cabernet Sauvignon Paso Robles 750ml,34.99,,,,,
Sugarlands Dark Chocolate Sipping Cream 750ml,20.99,4.9,40,1,0,0,2,37,Appalachian Moonshine Paw Paw 750ml,19.99,Sugarlands Mark & Digger Hazelnut Rum 750ml,20.99,"Carmen Gran Reserva Cabernet Sauvignon, 2018 750ml",17.99,Josh Cellars Bourbon Barrel Cabernet Sauvignon Family Reserve 750ml,16.99,Harvester Cabernet Sauvignon Paso Robles 750ml,19.99,{'satisfaction': '10 reviews'},,31 out of 32 (97%) of reviewers would recommend this product to a friend.,31.0,97%
Tim Smith'S Climax Moonshine Original Recipe 750ml,18.99,4.3,35,4,1,0,6,24,Redemption High Rye Bourbon 750ml,27.99,"Silver Ghost Cabernet Sauvignon Napa Valley , 2018 750ml",39.99,Corona Extra 24-12oz Btls,26.99,1858 Cabernet Sauvignon Paso Robles 750ml,34.99,Corona Light 24-12oz Btls,26.99,"{'satisfaction': '6 reviews', 'enjoyment': '2 reviews'}",,20 out of 26 (77%) of reviewers would recommend this product to a friend.,20.0,77%
Sugarlands Shine Ryder Cup Lemonade 750ml,19.49,3.7,7,2,0,0,1,4,The Original Backpacker Peach Cobbler Moonshine 750ml,19.99,Sugarlands Mark & Digger Hazelnut Rum 750ml,20.99,Appalachian Moonshine Paw Paw 750ml,19.99,Appalachian Moonshine 750ml,19.99,"Carmen Gran Reserva Cabernet Sauvignon, 2018 750ml",17.99,,,,,
Sugarlands Butterscotch Moonshine 750ml,19.29,4.5,21,1,1,1,2,16,Sugarlands Mark & Digger Hazelnut Rum 750ml,20.99,The Original Backpacker Dark Chocolate Cherry Moonshine 750ml,19.99,The Original Backpacker Peach Cobbler Moonshine 750ml,19.99,Ensign Red Salted Caramel 750ml,16.99,Appalachian Moonshine Paw Paw 750ml,19.99,{'satisfaction': '9 reviews'},,14 out of 18 (78%) of reviewers would recommend this product to a friend.,14.0,78%
Sugarlands Peach Moonshine 750ml,20.99,4.4,36,2,1,3,3,27,Sugarlands Mark & Digger Hazelnut Rum 750ml,20.99,King's Creek Black Label Cider 750ml,14.99,The Original Backpacker Peach Cobbler Moonshine 750ml,19.99,Appalachian Moonshine Paw Paw 750ml,19.99,Appalachian Moonshine 750ml,19.99,"{'satisfaction': '11 reviews', 'enjoyment': '3 reviews'}",,22 out of 26 (85%) of reviewers would recommend this product to a friend.,22.0,85%
Ole Smoky Tenn Moonshine Lightning 750ml,20.49,3.1,7,3,0,0,1,3,Tower Vodka 1.75L,19.99,The Original Backpacker Peach Cobbler Moonshine 750ml,19.99,Appalachian Moonshine 750ml,19.99,Appalachian Moonshine Paw Paw 750ml,19.99,Harvester Cabernet Sauvignon Paso Robles 750ml,19.99,{'smoothness': '2 reviews'},,2 out of 4 (50%) of reviewers would recommend this product to a friend.,2.0,50%
Midnight Moon Moonshine Apple Pie 750ml,16.99,4.4,13,1,1,0,1,10,The Original Backpacker Apple Pie Moonshine 750ml,19.99,Appalachian Moonshine Apple Pie 750ml,19.99,The Original Backpacker Peach Cobbler Moonshine 750ml,19.99,McFarlane's Reserve Kentucky Straight Bourbon 750ml,19.99,Tower Vodka 1.75L,19.99,{'satisfaction': '2 reviews'},,7 out of 9 (78%) of reviewers would recommend this product to a friend.,7.0,78%
Everclear Grain Alcohol 120 750ml,19.49,4.3,23,3,1,1,0,18,Dagger Leaf Pinot Noir Willamette Valley 750ml,18.99,Appalachian Moonshine 750ml,19.99,Angry Orchard Crisp Apple Cider 12pk-12oz Btls,15.99,"Carmen Gran Reserva Cabernet Sauvignon, 2018 750ml",17.99,Samuel Robert Winery Pinot Noir Vintner's Reserve Willamette 750ml,15.99,,,,,
Sugarlands Root Beer Moonshine 750ml,20.99,4.5,17,0,0,2,5,10,Appalachian Moonshine Paw Paw 750ml,19.99,"Carmen Gran Reserva Cabernet Sauvignon, 2018 750ml",17.99,Josh Cellars Bourbon Barrel Cabernet Sauvignon Family Reserve 750ml,16.99,Harvester Cabernet Sauvignon Paso Robles 750ml,19.99,Tesoro della Regina Pinot Grigio 750ml,17.99,"{'enjoyment': '2 reviews', 'satisfaction': '2 reviews'}",,14 out of 14 (100%) of reviewers would recommend this product to a friend.,14.0,100
Sugarlands Maple Bacon Moonshine 750ml,24.99,4.9,7,0,0,0,1,6,Sugarlands Mark & Digger Hazelnut Rum 750ml,20.99,The Original Backpacker Dark Chocolate Cherry Moonshine 750ml,19.99,Ensign Red Salted Caramel 750ml,16.99,Ensign Red Peach 750ml,15.99,Appalachian Moonshine Paw Paw 750ml,19.99,{'satisfaction': '4 reviews'},,7 out of 7 (100%) of reviewers would recommend this product to a friend.,7.0,100
